,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
55,Angel,The Boombastic Collection - Best of Shaggy,Shaggy,2008-01-01,235146,51,0.805,0.121,0.805,0.763,0.0,0.047,-2.955,0.0942,85.289,4
56,Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,230133,72,0.908,0.242,0.908,0.557,0.0,0.0709,-4.243,0.107,90.032,4
57,Without Me,Curtain Call (Deluxe),Eminem,2005-12-06,291213,0,0.919,0.00293,0.919,0.657,0.0,0.356,-2.823,0.0907,112.23,4
58,Foolish,Ashanti,Ashanti,2002-01-01,227386,72,0.665,0.347,0.665,0.695,0.0,0.106,-5.763,0.0532,90.119,4
59,If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,2003-12-02,228706,79,0.609,0.603,0.609,0.445,6.77e-06,0.104,-9.129,0.106,118.393,3
60,Nah! - Red Version,Up! (Red and Blue Versions),Shania Twain,2002-01-01,248866,0,0.572,0.0228,0.572,0.768,0.0,0.0878,-5.346,0.0806,147.934,4
61,Why'd You Only Call Me When You're High?,AM,Arctic Monkeys,2013-09-09,161123,0,0.691,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,4
62,Do I Wanna Know?,AM,Arctic Monkeys,2013-09-09,272394,0,0.548,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,85.03,4
63,Bitter Sweet Symphony,Cruel Intentions,Various Artists,1999-01-01,358333,44,0.383,0.0313,0.383,0.907,0.0,0.347,-5.409,0.0405,171.052,4
64,One,...And Justice For All,Metallica,1988-08-25,447440,0,0.444,0.00112,0.444,0.703,0.0761,0.127,-9.443,0.0641,106.228,4
65,Nothing Else Matters,Metallica,Metallica,1991-08-12,388733,0,0.558,0.0505,0.558,0.364,5.02e-06,0.0753,-11.258,0.0265,142.171,3
66,The Unforgiven II,Reload,Metallica,1997-11-18,396440,0,0.49,0.000514,0.49,0.884,0.00177,0.27,-4.533,0.0428,132.978,4
67,Hold You - Hold Yuh,Hold You,Gyptian,2010-07-16,233253,66,0.69,0.321,0.69,0.621,2.81e-05,0.0884,-3.583,0.06,66.858,3
68,Soft,Aha Shake Heartbreak,Kings of Leon,2004-11-09,179386,0,0.486,0.0596,0.486,0.758,7.89e-05,0.0719,-4.957,0.0353,114.4,4
69,La Bamba,Latino Party,Latino Party,2006-01-01,159280,0,0.494,0.0522,0.494,0.864,0.101,0.248,-4.784,0.032,158.332,4
70,All I Have to Do Is Dream - Single Version; 2006 Remaster,Definitive Pop: The Everly Brothers,The Everly Brothers,2007-02-05,140373,51,0.581,0.788,0.581,0.368,0.0,0.157,-11.264,0.0263,103.716,4
71,Son Of A Preacher Man,The Silver Collection,Dusty Springfield,1988-01-01,146626,61,0.367,0.195,0.367,0.472,0.0,0.0874,-11.902,0.0689,179.686,4
72,C O O L - Radio Edit,C O O L,Le Youth,2013-06-28,214346,53,0.735,0.0242,0.735,0.759,0.185,0.0966,-6.914,0.0449,109.982,4
